,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[1, 42]",1.326,0.218,0.98,1.688,0.004,0.003,3857.0,2666.0,1.0
"c[1, 43]",0.878,0.16,0.604,1.13,0.002,0.001,5922.0,3008.0,1.0
"c[1, 44]",-0.096,0.139,-0.32,0.138,0.002,0.002,4809.0,3176.0,1.0
"c[1, 45]",-0.141,0.16,-0.41,0.116,0.002,0.002,4575.0,3294.0,1.0
"c[1, 46]",-0.218,0.178,-0.497,0.086,0.003,0.002,3788.0,2954.0,1.0
"c[1, 47]",0.717,0.155,0.463,0.978,0.002,0.001,6341.0,3058.0,1.0
"c[1, 48]",-0.093,0.15,-0.318,0.172,0.002,0.002,5103.0,3151.0,1.0
"c[1, 49]",-0.546,0.193,-0.854,-0.219,0.003,0.003,3430.0,2481.0,1.0
"c[1, 50]",0.358,0.146,0.116,0.59,0.002,0.001,5563.0,2885.0,1.0
"c[1, 51]",0.587,0.149,0.338,0.825,0.002,0.001,5575.0,3222.0,1.0
"c[1, 52]",0.573,0.149,0.332,0.816,0.002,0.001,5639.0,3214.0,1.0
"c[1, 53]",0.888,0.164,0.623,1.154,0.002,0.002,5992.0,2919.0,1.0
"c[1, 54]",0.738,0.158,0.463,0.983,0.002,0.002,5881.0,2800.0,1.0
"c[1, 55]",0.519,0.153,0.265,0.769,0.002,0.001,5234.0,2758.0,1.0
"c[1, 56]",0.341,0.144,0.092,0.572,0.002,0.001,5562.0,3151.0,1.0
"c[1, 57]",0.925,0.167,0.65,1.198,0.002,0.002,5247.0,2570.0,1.0
"c[1, 58]",0.282,0.15,0.031,0.518,0.002,0.002,4977.0,3181.0,1.0
"c[1, 59]",1.075,0.173,0.789,1.359,0.002,0.002,5067.0,3014.0,1.0
"c[1, 60]",0.575,0.151,0.345,0.836,0.002,0.001,5385.0,3331.0,1.0
"c[1, 61]",0.311,0.153,0.07,0.572,0.002,0.001,6034.0,3192.0,1.0
"c[1, 62]",0.385,0.163,0.1,0.644,0.002,0.002,6549.0,2808.0,1.0
"c[1, 63]",0.827,0.16,0.562,1.084,0.002,0.001,6217.0,2839.0,1.0
"c[1, 64]",1.316,0.191,1.005,1.627,0.003,0.002,5360.0,2531.0,1.0
"c[1, 65]",0.84,0.162,0.566,1.098,0.002,0.001,6567.0,2866.0,1.0
"c[1, 66]",0.226,0.148,-0.008,0.472,0.002,0.002,5110.0,3122.0,1.0
"c[1, 67]",0.788,0.157,0.5,1.02,0.002,0.001,6063.0,3444.0,1.01
"c[1, 68]",0.016,0.158,-0.248,0.272,0.002,0.002,4947.0,3615.0,1.0
"c[1, 69]",1.219,0.18,0.917,1.51,0.003,0.002,4660.0,2747.0,1.0
"c[1, 70]",0.369,0.145,0.141,0.615,0.002,0.002,4206.0,3201.0,1.0
"c[1, 71]",0.403,0.148,0.152,0.635,0.002,0.002,4656.0,3186.0,1.0
"c[1, 72]",0.756,0.155,0.493,1.002,0.002,0.002,5182.0,3028.0,1.0
"c[1, 73]",0.306,0.149,0.052,0.541,0.002,0.002,5883.0,3006.0,1.0
"c[1, 74]",0.856,0.159,0.584,1.104,0.002,0.002,5787.0,3089.0,1.0
"c[1, 75]",-0.03,0.151,-0.282,0.218,0.002,0.002,4819.0,3149.0,1.0
"c[1, 76]",1.143,0.179,0.831,1.425,0.003,0.002,5104.0,2705.0,1.0
"c[1, 77]",0.701,0.154,0.437,0.945,0.002,0.002,5407.0,2973.0,1.0
"c[1, 78]",0.493,0.156,0.241,0.748,0.002,0.001,6258.0,3218.0,1.0
"c[1, 79]",-0.79,0.241,-1.144,-0.368,0.005,0.003,2713.0,2406.0,1.0
"c[1, 80]",0.783,0.155,0.541,1.047,0.002,0.001,6132.0,3300.0,1.0
"c[1, 81]",1.094,0.185,0.776,1.386,0.002,0.002,6276.0,2957.0,1.0
